Codi_Districte,Nom_Districte,Nom_Carrer,Personas,Promedio_Import_Euros,Vehicles
5,Sarrià-Sant Gervasi,Oliana,148201,25606.775510204083,102272
10,Sant Martí,Pere IV,239465,15323.08843537415,103094
2,Eixample,Pelai,266857,18867.71676300578,128137
1,Ciutat Vella,Pom d'Or,106028,11517.703703703704,33685
1,Ciutat Vella,Príncep de Viana,106028,11517.703703703704,33685
1,Ciutat Vella,Rivadeneyra,106028,11517.703703703704,33685
3,Sants-Montjuïc,Sant Roc,183770,14625.393162393162,79559
9,Sant Andreu,Sanet,149826,15124.747368421053,65745
9,Sant Andreu,Servet,149826,15124.747368421053,65745
2,Eixample,Sicília,266857,18867.71676300578,128137
6,Gràcia,Ptge Turull,121915,18340.74712643678,57643
6,Gràcia,Pg Vall d'Hebron,121915,18340.74712643678,57643
7,Horta-Guinardó,Vinyals,172109,15152.317073170732,80895
7,Horta-Guinardó,Ptge Xinxó,172109,15152.317073170732,80895
10,Sant Martí,Almacelles,239465,15323.08843537415,103094
3,Sants-Montjuïc,Camí Foixarda,183770,14625.393162393162,79559
10,Sant Martí,Moll Xaloc,239465,15323.08843537415,103094
10,Sant Martí,Ptge Andreví,239465,15323.08843537415,103094
3,Sants-Montjuïc,Colònia Bausili,183770,14625.393162393162,79559
5,Sarrià-Sant Gervasi,Bosc,148201,25606.775510204083,102272
4,Les Corts,Pl Caba,81074,22022.035087719298,48622
6,Gràcia,Ca l'Alegre,121915,18340.74712643678,57643
9,Sant Andreu,Pl Estació,149826,15124.747368421053,65745
1,Ciutat Vella,Fruita,106028,11517.703703703704,33685
4,Les Corts,Galileu,81074,22022.035087719298,48622
7,Horta-Guinardó,Gran Vista,172109,15152.317073170732,80895
5,Sarrià-Sant Gervasi,Graus,148201,25606.775510204083,102272
10,Sant Martí,Guinardó,239465,15323.08843537415,103094
7,Horta-Guinardó,Marina,172109,15152.317073170732,80895
6,Gràcia,Rbla Mercedes,121915,18340.74712643678,57643
5,Sarrià-Sant Gervasi,Ginestera,148201,25606.775510204083,102272
1,Ciutat Vella,Sant Josep,106028,11517.703703703704,33685
10,Sant Martí,Arquitecte Sert,239465,15323.08843537415,103094
10,Sant Martí,Jaume Vicens Vives,239465,15323.08843537415,103094
7,Horta-Guinardó,Pl Cosmos,172109,15152.317073170732,80895
1,Ciutat Vella,Pg Mare Nostrum,106028,11517.703703703704,33685
3,Sants-Montjuïc,Pl Valerie Powles,183770,14625.393162393162,79559
10,Sant Martí,Àlaba,239465,15323.08843537415,103094
5,Sarrià-Sant Gervasi,Pl Borràs,148201,25606.775510204083,102272
5,Sarrià-Sant Gervasi,Bosch i Gimpera,148201,25606.775510204083,102272
10,Sant Martí,Carcassona,239465,15323.08843537415,103094
10,Sant Martí,Ptge Ferrer Vidal,239465,15323.08843537415,103094
9,Sant Andreu,Francesc Tàrrega,149826,15124.747368421053,65745
7,Horta-Guinardó,Juan de Mena,172109,15152.317073170732,80895
3,Sants-Montjuïc,Av Montanyans,183770,14625.393162393162,79559
1,Ciutat Vella,Reina Cristina,106028,11517.703703703704,33685
3,Sants-Montjuïc,Msèn Amadeu Oller,183770,14625.393162393162,79559
8,Nou Barris,S'Agaró,170736,12431.811965811965,66780
1,Ciutat Vella,Rda Sant Antoni,106028,11517.703703703704,33685
10,Sant Martí,St Antoni M Claret,239465,15323.08843537415,103094
6,Gràcia,Sicília,121915,18340.74712643678,57643
6,Gràcia,Terol,121915,18340.74712643678,57643
6,Gràcia,Ptge Tona,121915,18340.74712643678,57643
5,Sarrià-Sant Gervasi,Tres Reis,148201,25606.775510204083,102272
9,Sant Andreu,Fernando Pessoa,149826,15124.747368421053,65745
3,Sants-Montjuïc,29 del BZ (No Ofi),183770,14625.393162393162,79559
7,Horta-Guinardó,Antic del Guinardó,172109,15152.317073170732,80895
1,Ciutat Vella,Sant Pere Més Baix,106028,11517.703703703704,33685
5,Sarrià-Sant Gervasi,Dr Ribas i Perdigó,148201,25606.775510204083,102272
7,Horta-Guinardó,Dosrius,172109,15152.317073170732,80895
1,Ciutat Vella,Duc,106028,11517.703703703704,33685
